Country;Region;Year;Economy_status_Developed;Infant_deaths;Under_five_deaths;Alcohol_consumption;Hepatitis_B_alt;Measles_alt;Polio_alt;Diphtheria_alt;BMI;Incidents_HIV;GDP_per_capita;Population_mln;Thinness_ten_nineteen_years;Thinness_five_nine_years;Schooling;Life_expectancy
Oman;Middle East;2015;No;9.6;11.2;0.45;alta;alta;alta;alta;26.3;0.05;18445;4.27;7.1;6.9;9.5;76.9
France;European Union;2014;Yes;3.1;4.1;12.07;elevada;elevada;alta;alta;25;0.1;36379;66.31;0.6;0.6;11.4;82.7
Bosnia and Herzegovina;Rest of Europe;2011;No;6;6.9;4.71;elevada;elevada;elevada;elevada;25.4;0.08;4185;3.66;2.6;2.5;7.2;76.2
Mauritania;Africa;2002;No;68.6;111.5;0.012;moderada;moderada;alta;elevada;23.9;0.45;1234;2.78;1.5;1.3;3.1;60.9
Somalia;Africa;2008;No;101.1;166.5;0;baixa;moderada;baixa;baixa;22.7;0.13;265;11.4;7.2;7;2.1;53.3
Azerbaijan;Asia;2011;No;30.5;34.9;0.6;elevada;alta;alta;elevada;26.5;0.08;5153;9.17;2.8;2.9;10.7;71.2
Maldives;Asia;2007;No;15.1;17.6;1.51;alta;moderada;alta;alta;24.1;0.17;8535;0.34;14.3;14.4;3.9;74.6
Armenia;Rest of Europe;2012;No;14.7;16.4;3.89;alta;alta;alta;alta;26.1;0.08;3313;2.88;2;2.1;11.3;73.8
Ghana;Africa;2009;No;48.8;72.3;1.26;alta;moderada;alta;alta;23.5;1.06;1348;24.17;7.3;7.2;6.7;60.6
Somalia;Africa;2006;No;104;172;1.00E-04;baixa;moderada;baixa;baixa;22.5;0.13;237;10.76;7.4;7.2;2.1;52.7
Switzerland;Rest of Europe;2014;Yes;3.8;4.3;9.62;elevada;elevada;alta;alta;25.1;0.05;84348;8.19;0.4;0.3;13.4;83.2
Argentina;South America;2005;No;14.8;16.5;7.6;elevada;elevada;alta;alta;26.6;0.15;11192;38.89;1.1;1;9.1;74.5
Guinea-Bissau;Africa;2010;No;72.6;114.5;3.06;elevada;moderada;elevada;elevada;23;2.41;586;1.52;8;7.9;2.6;54.6
Solomon Islands;Oceania;2000;No;25.6;30.7;0.71;elevada;moderada;elevada;elevada;24.9;0.17;1939;0.41;1.4;1.4;4.6;67.4
Congo Dem Rep;Africa;2000;No;106.5;159.3;2.05;moderada;moderada;baixa;baixa;20.7;1.07;351;47.11;12.4;12.3;3.3;50
Namibia;Africa;2010;No;36.8;49.1;1.4;elevada;moderada;elevada;elevada;23.8;5.85;4147;2.12;1.4;1.4;6.2;56.7
Russian Federation;Rest of Europe;2004;No;12;14.9;11.5;alta;alta;alta;alta;25.9;0.08;6857;144.07;2.5;2.8;11.4;65.5
Japan;Asia;2003;Yes;2.9;4;7.82;elevada;elevada;alta;alta;22.5;0.17;31830;127.72;1.7;1.4;11;81.8
Mauritania;Africa;2004;No;67.8;109.7;0.014;moderada;moderada;moderada;elevada;24.1;0.4;1307;2.94;1;9.8;3.3;61.2
Eswatini;Africa;2007;No;59.3;103.8;6.34;alta;alta;elevada;elevada;26.1;18.67;3175;1.04;6.5;6.7;5.3;43.3
Nigeria;Africa;2011;No;83;133.1;4.99;baixa;moderada;baixa;baixa;23;0.73;2464;162.81;11;1.9;5.5;51.3
United Arab Emirates;Middle East;2002;No;9.1;10.6;1.6;alta;alta;alta;alta;27.3;0.13;56815;3.48;5.3;5;8.6;74.8
Burundi;Africa;2005;No;78.4;124.9;6.07;elevada;moderada;elevada;elevada;21;0.83;296;7.36;8.2;8.3;2.3;53.4
Tajikistan;Asia;2006;No;44.1;51.9;0.56;elevada;alta;elevada;elevada;24.7;0.07;662;6.92;3.8;3.9;10.5;66.8
Honduras;Central America and Caribbean;2000;No;30.3;37;2.47;alta;elevada;elevada;alta;24.8;0.53;1790;6.57;2.8;2.7;4.3;70.7
Colombia;South America;2008;No;16.7;19.5;4.35;alta;elevada;alta;alta;25.5;0.19;4992;44.25;2.3;2;7.3;75
Gambia;Africa;2009;No;47.1;76.8;3.05;alta;moderada;alta;alta;23.3;1.29;733;1.74;8.4;8.3;2.7;59.3
Madagascar;Africa;2015;No;41.3;59;0.86;moderada;moderada;moderada;moderada;21.3;0.24;467;24.23;7.1;7.1;6.1;65.5
Iceland;Rest of Europe;2003;Yes;2.8;3.5;6.52;elevada;alta;alta;alta;25.7;0.03;43764;0.29;1;0.9;9.8;81
Morocco;Africa;2002;No;40.6;48;0.46;alta;alta;alta;alta;24.8;0.06;1905;29.45;6.6;6.5;3.6;69.8
Pakistan;Asia;2011;No;68.6;85;0.04;elevada;baixa;moderada;elevada;23.5;0.13;1246;183.34;2;2.4;4.8;65.6
Bolivia;South America;2009;No;34.8;44.1;3.64;alta;elevada;alta;alta;25.7;0.18;2455;9.88;1.2;1.1;7.9;67.5
Cambodia;Asia;2006;No;49.3;59.7;1.18;elevada;baixa;elevada;elevada;21.2;0.3;760;13.48;11.4;11.6;3.6;63.9
Malaysia;Asia;2006;No;7;8.1;0.45;alta;alta;alta;alta;24.6;0.2;7531;26.2;8.8;8.6;8.2;73.7
Romania;European Union;2006;Yes;14.2;16.6;9.89;alta;alta;alta;alta;25.5;0.04;6846;21.19;3.2;3.7;10.3;72.2
Dominican Republic;Central America and Caribbean;2008;No;29.1;35.5;5.91;elevada;elevada;elevada;elevada;25.7;0.59;5410;9.46;3.4;3.3;7.2;71.6
Norway;Rest of Europe;2015;Yes;2.2;2.7;5.97;elevada;alta;alta;alta;26.6;0.04;74356;5.19;0.8;0.7;12.5;82.3
Italy;European Union;2005;Yes;3.8;4.5;8.65;alta;elevada;alta;alta;25.6;0.09;33258;57.97;0.5;0.5;9.2;80.8
Vietnam;Asia;2015;No;17.4;21.8;2.98;alta;moderada;alta;alta;21.7;0.12;2582;92.68;14.2;14.5;8;75.1
Albania;Rest of Europe;2007;No;15.3;17.1;5.46;alta;alta;alta;alta;25.8;0.03;3045;2.97;1.6;1.7;9.2;75.6
Oman;Middle East;2013;No;9.7;11.3;0.44;alta;alta;alta;alta;26.1;0.05;19654;3.76;7;6.8;8.9;76.4
Czechia;European Union;2001;Yes;4.3;5.2;13.64;alta;alta;alta;alta;26.5;0.08;12735;10.22;2.2;2.3;10.9;75.2
Tonga;Oceania;2002;No;13.8;16;1.5;elevada;alta;alta;elevada;31.4;0.17;3952;0.1;0.1;0.1;9.1;69.8
Congo Rep;Africa;2001;No;70.7;111.1;0.9;elevada;moderada;baixa;baixa;22.1;2.41;2080;3.22;9.4;9;5.6;52.5
Slovenia;European Union;2010;Yes;2.6;3.2;10.33;elevada;alta;alta;alta;26.1;0.02;20613;2.05;1.6;1.6;12.1;79.4
Gabon;Africa;2001;No;52.3;81.4;9.27;elevada;moderada;baixa;baixa;23.8;3.6;7867;1.26;7.8;7.7;6.3;58
Zambia;Africa;2014;No;46;68.3;4.22;elevada;baixa;elevada;elevada;22.4;4.77;1341;15.4;6.3;6.2;6.9;60.8
Eswatini;Africa;2015;No;45.2;57.2;7.49;alta;elevada;elevada;alta;26.8;14.3;3680;1.1;4;4.1;6.5;55.4
Togo;Africa;2000;No;75.7;119.9;1.08;elevada;moderada;moderada;moderada;22;2.97;506;4.92;9.4;9.3;4;53.5
Dominican Republic;Central America and Caribbean;2014;No;28.8;35;5.23;elevada;elevada;alta;alta;26.3;0.4;6547;10.17;3.3;3.2;7.8;73
Egypt Arab Rep;Africa;2001;No;35.2;43.9;0.13;alta;moderada;alta;alta;27.8;0.13;2652;70.15;3.5;3.4;4.9;68.8
Papua New Guinea;Oceania;2014;No;41.2;52.4;1.35;moderada;moderada;baixa;elevada;25.4;0.4;2565;7.95;1.3;1.3;4.3;63.2
Ireland;European Union;2000;Yes;6;7.1;13.84;alta;elevada;elevada;elevada;26.3;0.04;41623;3.81;0.3;0.3;10.8;76.5
Bhutan;Asia;2010;No;34.1;42.4;0.23;alta;elevada;alta;alta;23.3;0.16;2235;0.69;16.6;17.3;2.3;68.4
Comoros;Africa;2001;No;72.1;100.2;0.1;elevada;moderada;elevada;elevada;22.9;0.02;1188;0.56;7.8;7.8;3;59.5
Chile;South America;2014;No;6.9;8.1;7.92;alta;elevada;alta;alta;27.8;0.19;13367;17.76;0.8;0.8;10.1;79.5
Syrian Arab Republic;Middle East;2006;No;16.5;19.3;0.75;elevada;elevada;elevada;elevada;27.4;0.13;1550;19.06;6.4;6.3;6.2;74.4
Cambodia;Asia;2009;No;40.2;47.5;1.42;alta;baixa;alta;alta;21.5;0.19;855;14.09;11.1;11.4;3.7;66
Serbia;Rest of Europe;2004;No;8.4;9.7;9.17;elevada;alta;alta;elevada;25.5;0.01;4162;7.46;2.6;2.6;10;72.7
Belgium;European Union;2002;Yes;4.4;5.4;11.29;moderada;elevada;alta;alta;25.6;0.08;36393;10.33;0.8;0.8;10.3;78.1
Belize;Central America and Caribbean;2004;No;18.2;21.3;6.07;alta;elevada;alta;alta;27.8;1.48;4830;0.28;3.6;3.5;10.3;69.7
Costa Rica;Central America and Caribbean;2000;No;11.1;13.1;4.24;elevada;elevada;elevada;elevada;25.8;0.13;7678;3.96;2.4;2.3;8;77.5
Romania;European Union;2007;Yes;13;15.2;11.06;alta;alta;alta;alta;25.6;0.04;7450;20.88;3.2;3.6;10.5;72.6
Cuba;Central America and Caribbean;2008;No;5.4;6.7;4.25;alta;alta;alta;alta;25.1;0.15;6501;11.24;3.4;3.2;10.6;78.2
Honduras;Central America and Caribbean;2014;No;17.1;20;2.42;alta;elevada;alta;alta;26.5;0.06;2256;8.96;2.1;2.1;6.2;74.3
Trinidad and Tobago;Central America and Caribbean;2007;No;21.7;24.4;6.03;elevada;elevada;alta;elevada;26.7;0.4;18076;1.31;6.1;6.5;10.5;71.2
Botswana;Africa;2004;No;42.1;72.7;4.91;alta;elevada;alta;alta;23.9;13.43;4860;1.77;1.5;1.4;8.1;51.2
St Vincent and the Grenadines;Central America and Caribbean;2005;No;18.9;21.5;6.37;alta;elevada;alta;alta;26;0.4;6465;0.11;3.7;3.7;7.9;71.3
Bolivia;South America;2003;No;47.8;63.3;2.32;elevada;elevada;elevada;elevada;25.1;0.2;2083;8.91;1.4;1.3;7.1;64.2
Paraguay;South America;2002;No;26.8;32.3;4.81;elevada;moderada;elevada;elevada;25.1;0.18;3725;5.53;2.4;2.3;6.5;71
Bahamas;Central America and Caribbean;2014;No;12.2;14.3;9.22;alta;elevada;alta;alta;27.8;0.34;31689;0.37;2.5;2.5;11.1;72.8
Costa Rica;Central America and Caribbean;2004;No;9.9;11.5;4.08;elevada;elevada;alta;alta;26.2;0.15;8395;4.23;2.1;2;7.9;78
Malta;European Union;2001;Yes;6.6;7.5;5.99;elevada;baixa;alta;alta;26.9;0.08;16860;0.39;0.7;0.7;8.2;78.8
Malawi;Africa;2000;No;100.5;174.6;1.36;elevada;moderada;elevada;elevada;21.7;9.54;294;11.15;8;7.9;3;45.1
Finland;European Union;2006;Yes;3;3.6;10.15;elevada;alta;alta;alta;25.9;0.08;44074;5.27;0.9;0.8;12;79.2
Montenegro;Rest of Europe;2007;No;7.7;8.9;9.68;alta;alta;alta;alta;25.8;0.03;5798;0.62;2.1;2.2;10.8;74.3
Egypt Arab Rep;Africa;2004;No;30.6;37.5;0.14;alta;moderada;alta;alta;28.1;0.13;2759;74.17;3.3;3.2;5.4;69.3
United Arab Emirates;Middle East;2010;No;7.4;8.7;1.69;alta;alta;alta;alta;28;0.13;32535;8.55;5.1;4.9;9.9;76.3
Iceland;Rest of Europe;2006;Yes;2.5;3.1;7.2;elevada;alta;alta;alta;25.9;0.03;50732;0.3;0.9;0.9;10.2;81.2
Malaysia;Asia;2013;No;6.8;8;0.55;alta;alta;alta;alta;25.4;0.15;9179;29.47;7.8;7.6;10.1;75.1
Antigua and Barbuda;Central America and Caribbean;2002;No;11.9;14.6;6.67;alta;moderada;alta;alta;25.3;0.1;13171;0.08;3.6;3.5;9;74.4
Central African Republic;Africa;2002;No;108.5;165.8;1.6;baixa;moderada;baixa;baixa;21.7;3.64;477;3.8;1.2;1.2;3;44.1
Timor-Leste;Oceania;2013;No;45.9;54.2;0.48;elevada;moderada;elevada;elevada;21;0.09;1287;1.15;11.1;11.2;4.5;68
Serbia;Rest of Europe;2010;No;6.6;7.6;8.87;elevada;alta;alta;alta;25.8;0.02;5206;7.29;2.2;2.3;10.4;74.3
Hungary;European Union;2001;Yes;8.2;9.6;13.18;elevada;alta;alta;alta;26;0.08;9357;10.19;2.2;2.2;10.3;72.2
Malaysia;Asia;2005;No;7;8.2;0.49;alta;alta;alta;alta;24.5;0.21;7275;25.69;9;8.8;7.6;73.6
Botswana;Africa;2015;No;39.6;49.7;6.14;alta;elevada;alta;alta;24.3;5.81;6403;2.12;6.4;6.1;9.2;67.3
Chad;Africa;2005;No;92.4;166.9;0.46;baixa;moderada;baixa;baixa;21.3;0.96;676;10.1;1.5;1.4;1.5;48.5
Malawi;Africa;2002;No;84.6;145.5;1.25;moderada;moderada;elevada;moderada;21.9;8.06;271;11.71;7.7;7.6;3.2;45.5
Sierra Leone;Africa;2012;No;100.7;147.3;3.19;alta;moderada;alta;alta;22.6;0.94;627;6.71;7.9;7.8;3.2;51
Mali;Africa;2005;No;88.1;156.4;0.55;elevada;moderada;elevada;elevada;22.1;0.76;688;12.78;9.9;9.7;1.7;52.1
Bangladesh;Asia;2007;No;44.8;57.8;0.004;alta;moderada;alta;alta;20.8;0.01;856;142.66;19.5;2.1;4.7;68.6
Latvia;European Union;2015;Yes;4.3;5;10.8;alta;alta;alta;alta;26.6;0.29;13786;1.98;2.2;2.1;12.8;74.5
Angola;Africa;2002;No;114.5;191.5;2.08;moderada;moderada;baixa;baixa;21.9;1.39;2031;17.52;1.5;1.5;4.4;47.7
Jamaica;Central America and Caribbean;2003;No;17.6;20.7;3.43;alta;alta;alta;alta;25.9;0.83;5083;2.71;1.9;1.8;7.8;74.1
Zambia;Africa;2005;No;61.9;106.2;2.41;elevada;baixa;elevada;elevada;21.8;7.69;918;11.86;7.1;7;6.3;48.5
Kyrgyz Republic;Asia;2002;No;38.8;45.2;5.84;alta;moderada;alta;alta;24.9;0.04;742;4.99;3.5;3.5;10;68.2
Zimbabwe;Africa;2000;No;51.9;95.5;1.89;elevada;moderada;elevada;elevada;23.3;12.86;1697;11.88;11;11.2;6.5;44.6
China;Asia;2003;No;23.4;28.8;2.89;elevada;elevada;elevada;elevada;22.6;0.1;2797;1288.4;5.3;4.7;6.7;72.4
Nepal;Asia;2015;No;29.2;35.5;0.24;alta;moderada;alta;alta;22.4;0.17;902;27.02;15.7;16.1;4.7;69.5
Chad;Africa;2004;No;93.9;170.4;0.42;baixa;moderada;baixa;baixa;21.2;1.04;598;9.73;1.7;1.6;1.4;48.3
Afghanistan;Asia;2014;No;55.2;73.6;0.01;moderada;baixa;moderada;moderada;23.2;0.03;565;33.37;17.5;17.5;3.5;63
Cuba;Central America and Caribbean;2001;No;6.8;8.5;4.05;alta;elevada;alta;alta;24.6;0.12;4222;11.16;3.6;3.4;9.7;76.9
Tanzania;Africa;2014;No;41.9;59.9;7.43;alta;moderada;alta;alta;23.1;2.12;920;49.96;6.8;6.6;5.6;62.3
Ecuador;South America;2013;No;14.3;16.6;3.78;elevada;elevada;elevada;elevada;26.9;0.16;6084;15.71;1.3;1.1;8.3;75.7
Djibouti;Africa;2011;No;60.9;74.4;0.39;elevada;elevada;elevada;elevada;23.9;0.39;1452;0.85;5.6;5.5;4;60.7
Slovenia;European Union;2003;Yes;3.9;4.7;11.55;elevada;alta;alta;alta;25.6;0.03;17803;2;2;2.1;11.5;76.9
Grenada;Central America and Caribbean;2004;No;12.5;14.7;8.68;elevada;moderada;elevada;elevada;25.8;0.4;7578;0.1;4;4;7.7;73.1
Congo Dem Rep;Africa;2015;No;73;95.9;4.47;elevada;moderada;elevada;elevada;21.9;0.35;497;76.24;9.5;9.3;6.4;59.3
Cuba;Central America and Caribbean;2002;No;6.5;8.2;4.1;alta;elevada;alta;alta;24.7;0.13;4269;11.2;3.5;3.3;9.5;77.1
Maldives;Asia;2013;No;9.7;11.3;1.16;alta;alta;alta;alta;25;0.17;8955;0.42;13.7;13.8;5.7;77
Cote d'Ivoire;Africa;2004;No;87.5;129.5;0.85;moderada;moderada;elevada;moderada;23;2.65;1583;17.97;7.3;7.3;3.6;49.8
Nigeria;Africa;2001;No;106.8;177.3;11.17;baixa;moderada;baixa;baixa;22.4;1.29;1499;125.39;14.1;14.1;5.2;46.5
Nicaragua;Central America and Caribbean;2008;No;22;26.1;3.59;alta;elevada;alta;alta;26.5;0.12;1709;5.67;1.9;1.8;5.8;71.9
Grenada;Central America and Caribbean;2006;No;12.5;14.6;9.26;alta;elevada;alta;alta;26;0.4;8195;0.1;3.9;3.9;7.9;73.1
Iraq;Middle East;2007;No;31.1;38.1;0.15;moderada;moderada;elevada;moderada;27.7;0.13;3627;27.91;5.4;5.1;6.1;68.1
